,CITY,lat_lngs,latitude,longitude,temp,max_temp,humidity,wind_speed,cloudiness,country,date
25,kingaroy,"(-25.605207385129646, 151.41995245262024)",-25.605207385129646,151.41995245262024,68,68,100,4.7,90,AU,1581542943
26,rikitea,"(-15.399614040328132, -121.90141629471542)",-15.399614040328132,-121.90141629471542,79.11,79.11,78,17.52,100,PF,1581542856
27,bredasdorp,"(-80.0017371953341, 18.682541484621822)",-80.0017371953341,18.682541484621822,69.87,70,83,12.75,1,ZA,1581542869
29,avarua,"(-27.277312690306168, -164.7465186087728)",-27.277312690306168,-164.7465186087728,82.4,82.4,78,12.75,100,CK,1581542875
30,vrangel,"(41.30122643351757, 133.0779478897407)",41.30122643351757,133.0779478897407,36.27,36.27,76,7.29,100,RU,1581542944
31,lasa,"(32.145132585157285, 91.2913229420729)",32.145132585157285,91.2913229420729,26.56,37.4,63,3.36,5,IT,1581542944
32,khandbari,"(27.572598199621012, 87.16546060285378)",27.572598199621012,87.16546060285378,37.69,37.69,64,2.91,9,NP,1581542865
33,tuatapere,"(-51.29109367138651, 159.15627829924978)",-51.29109367138651,159.15627829924978,57.99,57.99,92,5.01,86,NZ,1581542865
34,nikolskoye,"(46.64929548411601, 173.27824755941344)",46.64929548411601,173.27824755941344,33.91,34,95,6.71,90,RU,1581542595
35,barrow,"(78.54816553256941, -145.9715963333477)",78.54816553256941,-145.9715963333477,-22,-22,74,4.7,1,US,1581542592
36,new norfolk,"(-74.8221744470451, 131.13254874029406)",-74.8221744470451,131.13254874029406,55.53,59,76,2.55,90,AU,1581542900
37,hongjiang,"(27.138171790916246, 109.58072518323917)",27.138171790916246,109.58072518323917,55.81,55.81,94,1.63,100,CN,1581542945
38,hamilton,"(29.33285555037743, -66.99688445672659)",29.33285555037743,-66.99688445672659,34.48,36,93,6.93,90,US,1581542727
39,butaritari,"(13.880238554042748, 170.81444098296868)",13.880238554042748,170.81444098296868,81.86,81.86,84,17.92,100,KI,1581542866
40,qaanaaq,"(83.54078622083611, -89.34022427011686)",83.54078622083611,-89.34022427011686,-16.22,-16.22,57,4.25,7,GL,1581542858
41,saldanha,"(-35.68753733282632, 13.485315627117302)",-35.68753733282632,13.485315627117302,62.6,62.6,88,11.41,1,ZA,1581542898
